distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,type_service,duree_trajet_min
1115.0,19.2,176.17,0.109,Укрзалізниця,1,866.0
875.0,2.6,138.25,0.0188,SNCF Voyageurs SA,1,747.0
1032.0,20.8,163.056,0.1276,Trenitalia S.p.A,1,700.0
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,1,750.0
493.0,10.3,77.894,0.1322,C.F.R. Călători S.A.,1,599.0
849.0,18.0,134.142,0.1342,C.F.R. Călători S.A.,1,1041.0
561.0,10.659,88.658,0.1202,Caledonian Sleeper Ltd.,0,283.0
760.0,26.1,120.08,0.2174,PKP Intercity S.A.,1,696.0
1209.0,19.3,191.022,0.101,Укрзалізниця,1,1167.0
1110.0,17.9,175.38,0.1021,Укрзалізниця,1,1208.0
1484.0,25.4,234.472,0.1083,Укрзалізниця,1,1233.0
644.0,14.7,101.752,0.1445,Caledonian Sleeper Ltd.,1,455.0
1337.0,22.6,211.246,0.107,Укрзалізниця,1,1182.0
652.0,0.75,103.016,0.0073,SJ AB,1,603.0
852.0,16.2,134.616,0.1203,European Sleeper Cooperatïe,1,923.0
915.0,18.8,144.57,0.13,České dráhy a.s.,1,804.0
989.0,3.1,156.262,0.0198,SNCF Voyageurs SA,1,754.0
645.0,14.6,101.91,0.1433,Caledonian Sleeper Ltd.,1,455.0
608.0,10.5,96.064,0.1093,České dráhy a.s.,1,764.0
807.0,11.1,127.506,0.0871,HŽ Putnički prijevoz d.o.o.,1,850.0
711.0,17.1,112.338,0.1522,C.F.R. Călători S.A.,1,890.0
1278.0,19.9,201.924,0.0986,Укрзалізниця,1,1187.0
758.0,11.4,119.764,0.0952,Укрзалізниця,1,842.0
1083.0,9.176,171.266,0.0536,European Sleeper Cooperatïe,0,565.0
1265.0,1.4,199.87,0.007,Merresor AB,1,905.0
540.0,11.6,85.32,0.136,Укрзалізниця,1,636.0
839.0,18.8,132.562,0.1418,Caledonian Sleeper Ltd.,1,730.0
870.0,21.5,137.46,0.1564,C.F.R. Călători S.A.,1,985.0
1144.0,16.2,180.752,0.0896,European Sleeper Cooperatïe,1,698.5
1439.0,16.1,227.362,0.0708,SJ AB,1,950.0
841.0,2.9,132.878,0.0218,SNCF Voyageurs SA,1,752.0
845.0,18.0,133.51,0.1348,ÖBB-Personenverkehr AG,1,730.0
1212.0,21.7,191.496,0.1133,Укрзалізниця,1,1304.0
840.0,16.6,132.72,0.1251,Укрзалізниця,1,908.0
712.0,2.0,112.496,0.0178,SNCF Voyageurs SA,1,701.0
1168.0,12.8,184.544,0.0694,ÖBB-Personenverkehr AG,1,794.0
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,1,749.0
526.0,12.7,83.108,0.1528,C.F.R. Călători S.A.,1,466.0
529.0,4.7,83.582,0.0562,Železničná spoločnosť Slovensko a.s.,1,462.0
502.0,12.048,79.036,0.1524,БДЖ - Пътнически превози ЕООД,0,215.0
677.0,6.5,106.966,0.0608,HŽ Putnički prijevoz d.o.o.,1,821.0
605.0,12.4,95.59,0.1297,БДЖ - Пътнически превози ЕООД,1,686.0
606.0,15.5,95.748,0.1619,C.F.R. Călători S.A.,1,912.0
876.0,15.4,138.408,0.1113,Укрзалізниця,1,734.0
614.0,0.67,97.012,0.0069,SJ AB,1,440.0
533.0,11.4,84.214,0.1354,БДЖ - Пътнически превози ЕООД,1,471.0
817.0,13.8,129.086,0.1069,Укрзалізниця,1,941.0
1503.0,25.6,237.474,0.1078,Укрзалізниця,1,1140.0
405.0,9.8,63.99,0.1531,C.F.R. Călători S.A.,1,403.0
704.0,0.71,111.232,0.0064,SJ AB,1,577.0
870.0,21.5,137.46,0.1564,C.F.R. Călători S.A.,1,865.0
899.0,12.1,142.042,0.0852,VR-Yhtymä Oy,1,710.0
740.0,20.6,116.92,0.1762,RegioJet a.s.,1,637.0
1263.0,28.8,199.554,0.1443,TCDD Taşımacılık A.Ş.,1,146.0
867.0,21.675,136.941,0.1583,České dráhy a.s.,0,344.0
700.0,12.9,110.6,0.1166,Укрзалізниця,1,666.0
435.0,10.44,68.73,0.1519,БДЖ - Пътнически превози ЕООД,0,212.0
1073.0,20.6,169.534,0.1215,Укрзалізниця,1,1145.0
1263.0,28.8,199.554,0.1443,TCDD Taşımacılık A.Ş.,1,191.0
763.0,17.366,120.554,0.1441,TCDD Taşımacılık A.Ş.,0,375.0
1847.0,30.4,291.826,0.1042,Merresor AB,1,1340.0
745.0,15.645,118.01,0.1326,Железнице Србије ад,0,383.0
840.0,16.6,132.72,0.1251,Укрзалізниця,1,987.0
1009.0,20.3,159.422,0.1273,Trenitalia S.p.A,1,747.0
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,1,773.0
644.0,14.7,101.752,0.1445,Caledonian Sleeper Ltd.,1,465.0
1238.0,16.9,195.604,0.0864,Укрзалізниця,1,1230.0
556.0,0.18,87.848,0.002,SJ Norge AS,1,453.0
441.0,8.82,69.678,0.1266,Укрзалізниця,0,268.0
447.0,10.728,70.626,0.1519,ÖBB-Personenverkehr AG,0,228.0
1052.0,1.1,166.216,0.0066,SJ AB,1,756.0
444.0,9.1,70.152,0.1297,БДЖ - Пътнически превози ЕООД,1,445.0
564.0,11.2,89.112,0.1257,Укрзалізниця,1,434.0
611.0,15.275,96.502,0.1583,České dráhy a.s.,0,310.0
811.0,18.0,128.138,0.1405,TCDD Taşımacılık A.Ş.,1,808.0
673.0,12.787,106.334,0.1203,VR-Yhtymä Oy,0,335.0
754.0,9.4,119.132,0.0789,Укрзалізниця,1,833.0
856.0,27.1,135.248,0.2004,PKP Intercity S.A.,1,629.0
491.0,15.512,77.578,0.2,RegioJet a.s.,0,275.0
540.0,11.6,85.32,0.136,Укрзалізниця,1,745.0
424.0,11.6,66.992,0.1732,HŽ Putnički prijevoz d.o.o.,1,518.0
839.0,15.102,132.622,0.1139,First Greater Western Ltd.,0,412.0
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,1,728.0
1261.0,28.7,199.238,0.144,TCDD Taşımacılık A.Ş.,1,86.0
513.0,2.565,81.054,0.0316,SNCF Voyageurs SA,0,182.0
799.0,17.7,126.242,0.1402,TCDD Taşımacılık A.Ş.,1,1268.0
1147.0,23.0,181.226,0.1269,Trenitalia S.p.A,1,770.0
447.0,10.728,70.626,0.1519,ÖBB-Personenverkehr AG,0,228.0
763.0,17.366,120.554,0.1441,TCDD Taşımacılık A.Ş.,0,375.0
856.0,27.1,135.248,0.2004,PKP Intercity S.A.,1,593.0
723.0,15.183,114.234,0.1329,Железнице Србије ад,0,343.0
1045.0,16.72,165.11,0.1013,HŽ Putnički prijevoz d.o.o.,0,500.0
1484.0,25.4,234.472,0.1083,Укрзалізниця,1,1234.0
389.0,9.336,61.462,0.1519,ÖBB-Personenverkehr AG,0,168.0
654.0,15.696,103.332,0.1519,ÖBB-Personenverkehr AG,0,311.0
1055.0,5.275,166.69,0.0316,SNCF Voyageurs SA,0,435.0
425.0,9.0,67.15,0.134,БДЖ - Пътнически превози ЕООД,1,383.0
712.0,2.0,112.496,0.0178,SNCF Voyageurs SA,1,613.0
725.0,0.23,114.55,0.002,SJ Norge AS,1,606.0
634.0,1.902,100.172,0.019,SJ AB,0,327.0
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,1,726.0
604.0,14.0,95.432,0.1467,Astra Trans Carpatic SRL,1,744.0
1456.0,1.4,230.048,0.0061,SJ AB,1,1112.0
1339.0,30.5,211.562,0.1442,TCDD Taşımacılık A.Ş.,1,99.0
1380.0,29.3,218.04,0.1344,Trenitalia S.p.A,1,1178.0
425.0,9.0,67.15,0.134,БДЖ - Пътнически превози ЕООД,1,375.0
863.0,20.712,136.354,0.1519,БДЖ - Пътнически превози ЕООД,0,411.0
669.0,16.2,105.702,0.1533,TCDD Taşımacılık A.Ş.,1,757.0
602.0,3.9,95.116,0.041,SNCF Voyageurs SA,1,651.0
451.0,9.9,71.258,0.1389,C.F.R. Călători S.A.,1,535.0
903.0,5.3,142.674,0.0371,HŽ Putnički prijevoz d.o.o.,1,822.0
877.0,18.1,138.566,0.1306,Caledonian Sleeper Ltd.,1,625.0
717.0,11.472,113.306,0.1012,HŽ Putnički prijevoz d.o.o.,0,343.0
561.0,10.659,88.658,0.1202,Caledonian Sleeper Ltd.,0,283.0
1197.0,22.9,189.126,0.1211,Укрзалізниця,1,1000.0
631.0,12.5,99.698,0.1254,Trenitalia S.p.A,1,516.0
711.0,15.3,112.338,0.1362,Trenitalia S.p.A,1,684.0
502.0,12.048,79.036,0.1524,БДЖ - Пътнически превози ЕООД,0,215.0
669.0,16.2,105.702,0.1533,TCDD Taşımacılık A.Ş.,1,776.0
1221.0,21.9,192.918,0.1135,Укрзалізниця,1,1242.0
621.0,3.105,98.118,0.0316,SNCF Voyageurs SA,0,247.0
803.0,13.1,126.874,0.1033,C.F.R. Călători S.A.,1,904.0
1314.0,1.5,207.612,0.0072,Merresor AB,1,980.0
578.0,19.074,91.244,0.209,PKP Intercity S.A.,0,208.0
1147.0,23.0,181.226,0.1269,Trenitalia S.p.A,1,792.0
489.0,10.0,77.262,0.1294,First Greater Western Ltd.,1,485.0
1011.0,18.0,159.738,0.1127,ÖBB-Personenverkehr AG,1,670.0
608.0,10.5,96.064,0.1093,České dráhy a.s.,1,626.0
523.0,14.644,82.516,0.1775,TCDD Taşımacılık A.Ş.,0,256.0
1032.0,20.8,163.056,0.1276,Trenitalia S.p.A,1,682.0
456.0,15.048,72.048,0.2089,PKP Intercity S.A.,0,200.0
737.0,14.1,116.446,0.1211,Укрзалізниця,1,632.0
1380.0,29.3,218.04,0.1344,Trenitalia S.p.A,1,1235.0
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,1,761.0
867.0,16.658839,136.986,0.1216,Укрзалізниця,1,830.0
1238.0,16.9,195.604,0.0864,Укрзалізниця,1,1238.0
922.0,15.4,145.676,0.1057,Укрзалізниця,1,975.0
652.0,0.75,103.016,0.0073,SJ AB,1,638.0
1144.0,16.2,180.752,0.0896,European Sleeper Cooperatïe,1,698.5
488.0,7.7,77.104,0.0999,Укрзалізниця,1,584.0
845.0,23.66,133.51,0.1772,TCDD Taşımacılık A.Ş.,0,383.0
711.0,17.1,112.338,0.1522,C.F.R. Călători S.A.,1,878.0
567.0,12.0,89.586,0.1339,TCDD Taşımacılık A.Ş.,1,499.0
1185.0,24.7,187.23,0.1319,PKP Intercity S.A.,1,993.0
1112.0,16.0,175.696,0.0911,ÖBB-Personenverkehr AG,1,887.0
539.0,11.0,85.162,0.1292,БДЖ - Пътнически превози ЕООД,1,545.0
698.0,13.98,110.254,0.1268,Укрзалізниця,0,343.0
412.0,10.3,65.096,0.1582,Trenitalia S.p.A,0,232.0
1456.0,1.4,230.048,0.0061,SJ AB,1,1138.0
934.0,20.548,147.572,0.1392,C.F.R. Călători S.A.,0,383.0
513.0,2.565,81.054,0.0316,SNCF Voyageurs SA,0,182.0
745.0,12.6,117.71,0.107,Železničná spoločnosť Slovensko a.s.,1,735.0
1477.0,25.8,233.366,0.1106,Укрзалізниця,1,114.0
526.0,12.7,83.108,0.1528,C.F.R. Călători S.A.,1,454.0
758.0,14.8,119.764,0.1236,C.F.R. Călători S.A.,1,840.0
534.0,18.69,84.372,0.2215,MÁV-START Vasúti Személyszállító Zrt.,0,263.0
1029.0,18.5,162.582,0.1138,Укрзалізниця,1,1048.0
556.0,0.18,87.848,0.002,SJ Norge AS,1,454.0
723.0,15.183,114.234,0.1329,Железнице Србије ад,0,343.0
1481.0,16.1,233.998,0.0688,Merresor AB,1,970.0
1427.0,30.5,225.466,0.1353,Trenitalia S.p.A,1,1272.0
614.0,0.67,97.012,0.0069,SJ AB,1,469.0
1092.0,22.1,172.536,0.1281,Trenitalia S.p.A,1,585.0
845.0,23.66,133.51,0.1772,TCDD Taşımacılık A.Ş.,0,383.0
983.0,13.8,155.314,0.0889,VR-Yhtymä Oy,1,840.0
1209.0,19.3,191.022,0.101,Укрзалізниця,1,1182.0
917.0,15.2,144.886,0.1049,Укрзалізниця,1,1037.0
1171.0,22.5,185.018,0.1216,Укрзалізниця,1,1184.0
874.0,4.37,138.092,0.0316,SNCF Voyageurs SA,0,346.0
796.0,2.4,125.768,0.0191,SNCF Voyageurs SA,1,690.0
621.0,3.105,98.118,0.0316,SNCF Voyageurs SA,0,247.0
1847.0,30.4,291.826,0.1042,Merresor AB,1,1341.0
435.0,10.44,68.73,0.1519,БДЖ - Пътнически превози ЕООД,0,212.0
703.0,24.3,111.074,0.2188,PKP Intercity S.A.,1,700.0
459.0,9.5,72.522,0.131,C.F.R. Călători S.A.,1,520.0
711.0,15.3,112.338,0.1362,Trenitalia S.p.A,1,680.0
647.0,12.7,102.226,0.1242,Trenitalia S.p.A,1,492.0
448.0,9.856,70.784,0.1392,Calea Ferată din Moldova,0,209.0
776.0,2.328,122.608,0.019,SJ AB,0,183.0
952.0,2.7,150.416,0.018,SNCF Voyageurs SA,1,786.0
712.0,17.088,112.496,0.1519,ÖBB-Personenverkehr AG,0,332.0
1139.0,24.0,179.962,0.1334,PKP Intercity S.A.,1,883.0
513.0,11.0,81.054,0.1357,БДЖ - Пътнически превози ЕООД,1,491.0
658.0,10.8,103.964,0.1039,Укрзалізниця,1,557.0
931.0,7.2,147.098,0.0489,Železničná spoločnosť Slovensko a.s.,1,1051.0
1221.0,21.9,192.918,0.1135,Укрзалізниця,1,1247.0
542.0,18.97,85.848,0.221,MÁV-START Vasúti Személyszállító Zrt.,0,275.0
528.0,13.2,83.424,0.1582,Trenitalia S.p.A,0,210.0
529.0,16.0,83.582,0.1914,Укрзалізниця,1,659.0
899.0,11.3,142.042,0.0796,VR-Yhtymä Oy,1,835.0
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,1,750.0
983.0,13.8,155.314,0.0889,VR-Yhtymä Oy,1,801.0
1127.0,22.54,178.066,0.1266,Укрзалізниця,0,528.0
542.0,18.97,85.848,0.221,MÁV-START Vasúti Személyszállító Zrt.,0,275.0
1197.0,22.9,189.126,0.1211,Укрзалізниця,1,993.0
584.0,13.5,92.272,0.1463,Calea Ferată din Moldova,1,814.0
849.0,18.0,134.142,0.1342,C.F.R. Călători S.A.,1,1042.0
956.0,17.6,151.048,0.1165,Укрзалізниця,1,1027.0
1011.0,18.0,159.738,0.1127,ÖBB-Personenverkehr AG,1,733.0
700.0,6.5,110.6,0.0588,HŽ Putnički prijevoz d.o.o.,1,840.0
424.0,11.6,66.992,0.1732,HŽ Putnički prijevoz d.o.o.,1,511.0
653.0,10.1,103.174,0.0979,Укрзалізниця,1,555.0
491.0,15.512,77.578,0.2,RegioJet a.s.,0,275.0
1157.0,24.7,182.806,0.1351,C.F.R. Călători S.A.,1,1164.0
915.0,18.8,144.57,0.13,České dráhy a.s.,1,842.0
1077.0,19.2,170.166,0.1128,Укрзалізниця,1,890.0
758.0,14.8,119.764,0.1236,C.F.R. Călători S.A.,1,818.0
899.0,11.3,142.042,0.0796,VR-Yhtymä Oy,1,821.0
754.0,9.4,119.132,0.0789,Укрзалізниця,1,810.0
858.0,18.2,135.564,0.1343,C.F.R. Călători S.A.,1,950.0
891.0,29.403,140.798,0.2088,PKP Intercity S.A.,0,426.0
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,1,777.0
1110.0,17.9,175.38,0.1021,Укрзалізниця,1,1270.0
714.0,2.2,112.812,0.0195,SNCF Voyageurs SA,1,679.0
743.0,18.575,117.394,0.1582,Trenitalia S.p.A,0,331.0
606.0,13.0,95.748,0.1358,C.F.R. Călători S.A.,1,539.0
698.0,13.98,110.254,0.1268,Укрзалізниця,0,343.0
389.0,9.336,61.462,0.1519,ÖBB-Personenverkehr AG,0,168.0
792.0,2.2,125.136,0.0176,SNCF Voyageurs SA,1,815.0
604.0,14.0,95.432,0.1467,C.F.R. Călători S.A.,1,716.0
703.0,24.3,111.074,0.2188,PKP Intercity S.A.,1,724.0
487.0,10.714,76.916,0.1393,C.F.R. Călători S.A.,0,222.0
1045.0,16.72,165.11,0.1013,HŽ Putnički prijevoz d.o.o.,0,500.0
745.0,15.645,118.01,0.1326,Железнице Србије ад,0,383.0
899.0,12.1,142.042,0.0852,VR-Yhtymä Oy,1,755.0
1029.0,18.5,162.582,0.1138,Укрзалізниця,1,1090.0
444.0,9.1,70.152,0.1297,БДЖ - Пътнически превози ЕООД,1,455.0
606.0,15.5,95.748,0.1619,C.F.R. Călători S.A.,1,779.0
917.0,15.2,144.886,0.1049,Укрзалізниця,1,982.0
995.0,17.0,157.21,0.1081,MÁV-START Vasúti Személyszállító Zrt.,1,788.0
611.0,15.275,96.502,0.1583,České dráhy a.s.,0,310.0
1139.0,24.0,179.962,0.1334,PKP Intercity S.A.,1,820.0
1358.0,25.7,214.564,0.1198,Trenitalia S.p.A,1,1009.0
1339.0,30.5,211.562,0.1442,TCDD Taşımacılık A.Ş.,1,145.0
1160.0,19.8,183.28,0.108,Укрзалізниця,1,1271.0
587.0,11.74,92.746,0.1266,Укрзалізниця,0,345.0
931.0,7.2,147.098,0.0489,Železničná spoločnosť Slovensko a.s.,1,1014.0
1477.0,25.8,233.366,0.1106,Укрзалізниця,1,1320.0
578.0,19.074,91.244,0.209,PKP Intercity S.A.,0,208.0
667.0,16.675,105.394,0.1582,Trenitalia S.p.A,0,309.0
1400.0,25.0,221.2,0.113,Укрзалізниця,1,1152.0
712.0,17.088,112.496,0.1519,ÖBB-Personenverkehr AG,0,332.0
469.0,13.7,74.102,0.1849,Железнице Србије ад,1,660.0
1314.0,1.5,207.612,0.0072,Merresor AB,1,950.0
1073.0,20.6,169.534,0.1215,Укрзалізниця,1,1141.0
1115.0,19.2,176.17,0.109,Укрзалізниця,1,952.0
412.0,10.3,65.096,0.1582,Trenitalia S.p.A,0,232.0
989.0,13.9,156.262,0.089,VR-Yhtymä Oy,1,896.0
1185.0,24.7,187.23,0.1319,PKP Intercity S.A.,1,935.0
584.0,13.5,92.272,0.1463,Calea Ferată din Moldova,1,822.0
796.0,2.4,125.768,0.0191,SNCF Voyageurs SA,1,730.0
647.0,12.7,102.226,0.1242,Trenitalia S.p.A,1,475.0
919.0,15.6,145.202,0.1074,Укрзалізниця,1,704.0
1265.0,1.4,199.87,0.007,Merresor AB,1,865.0
1439.0,16.1,227.362,0.0708,SJ AB,1,921.0
540.0,11.6,85.32,0.136,Укрзалізниця,1,777.0
1009.0,20.3,159.422,0.1273,Trenitalia S.p.A,1,786.0
