operateur,target_encoding
Astra Trans Carpatic SRL,17.333333333333332
C.F.R. Călători S.A.,15.112400000000001
Calea Ferată din Moldova,9.856
Caledonian Sleeper Ltd.,15.984333333333334
European Sleeper Cooperatïe,15.19657142857143
First Greater Western Ltd.,12.551
Go-Ahead Norge AS,0.18
HŽ Putnički prijevoz d.o.o.,10.248999999999999
Merresor AB,11.166666666666666
MÁV-START Vasúti Személyszállító Zrt.,19.822142857142858
PKP Intercity S.A.,23.977076923076922
RegioJet a.s.,16.715200000000003
SJ AB,3.1012500000000003
SJ Norge AS,0.20500000000000002
SNCF Voyageurs SA,3.06325
TCDD Taşımacılık A.Ş.,20.996235294117646
Trenitalia S.p.A,17.90568181818182
VR-Yhtymä Oy,12.635875
Vygruppen AS,0.16
ÖBB-Personenverkehr AG,14.431333333333333
České dráhy a.s.,17.585
Železničná spoločnosť Slovensko a.s.,8.166666666666666
БДЖ - Пътнически превози ЕООД,12.177846153846154
Железнице Србије ад,14.6725
Укрзалізниця,17.801273409836067
