distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
1115.0,19.2,176.17,0.109,Укрзалізниця,UA,UZ 064,Lviv,Kharkiv,1899-12-30T15:30:00.000Z,1899-12-30T05:56:00.000Z,NUIT
875.0,2.6,138.25,0.0188,SNCF Voyageurs SA,FR,SNCF IC Nuit 3971,Paris Austerlitz,Latour-de-Carol / La Tor de Querol,1899-12-30T21:40:00.000Z,1899-12-30T10:07:00.000Z,NUIT
1032.0,20.8,163.056,0.1276,Trenitalia S.p.A,IT,FS IC Notte 755,Milano Centrale,Lecce,1899-12-30T21:50:00.000Z,1899-12-30T09:30:00.000Z,NUIT
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,IT,FS IC Notte 1954,Palermo Centrale,Roma Termini,1899-12-30T18:48:00.000Z,1899-12-30T07:18:00.000Z,NUIT
493.0,10.3,77.894,0.1322,C.F.R. Călători S.A.,RO,CFR 1641 (CN),București Nord,Cluj-Napoca,1899-12-30T21:03:00.000Z,1899-12-30T07:02:00.000Z,NUIT
849.0,18.0,134.142,0.1342,C.F.R. Călători S.A.,RO,CFR 1763,Iași,Timişoara Nord,1899-12-30T15:35:00.000Z,1899-12-30T08:56:00.000Z,NUIT
561.0,10.659,88.658,0.1202,Caledonian Sleeper Ltd.,GB,JOUR_CS_5020,London Euston,Inverness,1899-12-30T08:45:00.000Z,1899-12-30T13:28:00.000Z,JOUR
760.0,26.1,120.08,0.2174,PKP Intercity S.A.,PL,PKP IC 38192,Zakopane,Szczecin Gł.,1899-12-30T19:47:00.000Z,1899-12-30T07:23:00.000Z,NUIT
1209.0,19.3,191.022,0.101,Укрзалізниця,UA,UZ 086 P,Zaporizhzhia 1,Lviv,1899-12-30T18:48:00.000Z,1899-12-30T14:15:00.000Z,NUIT
1110.0,17.9,175.38,0.1021,Укрзалізниця,UA,UZ 088 L,Kovel,Zaporizhzhia 1,1899-12-30T17:35:00.000Z,1899-12-30T13:43:00.000Z,NUIT
1484.0,25.4,234.472,0.1083,Укрзалізниця,UA,UZ 003,Uzhhorod,Zaporizhzhia 1,1899-12-30T16:35:00.000Z,1899-12-30T13:08:00.000Z,NUIT
644.0,14.7,101.752,0.1445,Caledonian Sleeper Ltd.,GB,CS 1004 (E),Edinburgh Waverley,London Euston,1899-12-30T23:40:00.000Z,1899-12-30T07:15:00.000Z,NUIT
1337.0,22.6,211.246,0.107,Укрзалізниця,UA,UZ 016,Yasinia,Kharkiv,1899-12-30T13:28:00.000Z,1899-12-30T09:10:00.000Z,NUIT
652.0,0.75,103.016,0.0073,SJ AB,SE,SJ 71 (S),Duved,Stockholm C,1899-12-30T19:01:00.000Z,1899-12-30T05:04:00.000Z,NUIT
852.0,16.2,134.616,0.1203,European Sleeper Cooperatïe,NL,ES 453,Bruxelles Midi / Brussel Zuid,Praha hl.n.,1899-12-30T19:22:00.000Z,1899-12-30T10:45:00.000Z,NUIT
915.0,18.8,144.57,0.13,České dráhy a.s.,CZ,ČD EN 40459,Zürich HB,Praha hl.n.,1899-12-30T19:59:00.000Z,1899-12-30T09:23:00.000Z,NUIT
989.0,3.1,156.262,0.0198,SNCF Voyageurs SA,FR,SNCF IC Nuit 5781,Paris Austerlitz,Nice Ville,1899-12-30T20:51:00.000Z,1899-12-30T09:25:00.000Z,NUIT
645.0,14.6,101.91,0.1433,Caledonian Sleeper Ltd.,GB,CS 1004 (G),Glasgow Central,London Euston,1899-12-30T23:40:00.000Z,1899-12-30T07:15:00.000Z,NUIT
608.0,10.5,96.064,0.1093,České dráhy a.s.,CZ,ČD EN 40476,Budapest-Nyugati,Berlin Hbf,1899-12-30T19:30:00.000Z,1899-12-30T08:14:00.000Z,NUIT
807.0,11.1,127.506,0.0871,HŽ Putnički prijevoz d.o.o.,HR,HŽPP/ÖBB EN 40237,Stuttgart Hbf,Zagreb Gl. K.,1899-12-30T20:29:00.000Z,1899-12-30T10:39:00.000Z,NUIT
